orientations: 9, n_components: 50
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6769725451397477
n_neighbors: 2, accuracy train: 0.8348001272399533, accuracy val: 0.6547118476378927
n_neighbors: 3, accuracy train: 0.8279079631004135, accuracy val: 0.6799406381399951
n_neighbors: 4, accuracy train: 0.8073375039762486, accuracy val: 0.6868661884739056
n_neighbors: 5, accuracy train: 0.7954617749973492, accuracy val: 0.6873608706406134
n_neighbors: 6, accuracy train: 0.7863429116742657, accuracy val: 0.6947811031412318
n_neighbors: 7, accuracy train: 0.7801929805959071, accuracy val: 0.6915656690576305
n_neighbors: 8, accuracy train: 0.7748913158731842, accuracy val: 0.6955231263912935
n_neighbors: 9, accuracy train: 0.7757395822288199, accuracy val: 0.6987385604748949
n_neighbors: 10, accuracy train: 0.7728766832785494, accuracy val: 0.6967598318080633
n_neighbors: 11, accuracy train: 0.76884741808928, accuracy val: 0.7012119713084344
n_neighbors: 12, accuracy train: 0.7635457533665571, accuracy val: 0.6994805837249567
n_neighbors: 13, accuracy train: 0.7610009542996501, accuracy val: 0.7017066534751423
n_neighbors: 14, accuracy train: 0.7570777224048351, accuracy val: 0.7031906999752658
n_neighbors: 15, accuracy train: 0.7573958222881985, accuracy val: 0.7081375216423448
n_neighbors: 16, accuracy train: 0.7544268900434736, accuracy val: 0.6992332426416028
n_neighbors: 17, accuracy train: 0.7554872229880183, accuracy val: 0.7002226069750186
n_neighbors: 18, accuracy train: 0.7491252253207508, accuracy val: 0.702943358891912
n_neighbors: 19, accuracy train: 0.7495493584985685, accuracy val: 0.6999752658916646
n_neighbors: 20, accuracy train: 0.7485950588484784, accuracy val: 0.7019539945584962
n_neighbors: 21, accuracy train: 0.7470045594316616, accuracy val: 0.7034380410586198
n_neighbors: 22, accuracy train: 0.7447778602481179, accuracy val: 0.7022013356418502
n_neighbors: 23, accuracy train: 0.7423390944756654, accuracy val: 0.6975018550581251
n_neighbors: 24, accuracy train: 0.7429752942423921, accuracy val: 0.7022013356418502
n_neighbors: 25, accuracy train: 0.7439295938924823, accuracy val: 0.7009646302250804
n_neighbors: 26, accuracy train: 0.740854628353303, accuracy val: 0.6999752658916646
n_neighbors: 27, accuracy train: 0.7397942954087583, accuracy val: 0.7017066534751423
n_neighbors: 28, accuracy train: 0.7396882621143039, accuracy val: 0.7046747464753895
n_neighbors: 29, accuracy train: 0.7402184285865762, accuracy val: 0.6992332426416028
[KNN BEST] n_neighbors=15, val_accuracy=0.7081375216423448
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.716299777393025
------------------------------------------------------------------------------------------------------------------------
orientations: 9, n_components: 100
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6688102893890675
n_neighbors: 2, accuracy train: 0.8309829286395928, accuracy val: 0.6383873361365323
n_neighbors: 3, accuracy train: 0.825469197327961, accuracy val: 0.6735097699727924
n_neighbors: 4, accuracy train: 0.8041565051426148, accuracy val: 0.6824140489735345
n_neighbors: 5, accuracy train: 0.7944014420528046, accuracy val: 0.6826613900568884
n_neighbors: 6, accuracy train: 0.7861308450853568, accuracy val: 0.6831560722235963
n_neighbors: 7, accuracy train: 0.775315449051002, accuracy val: 0.684887459807074
n_neighbors: 8, accuracy train: 0.7691655179726434, accuracy val: 0.6900816225575068
n_neighbors: 9, accuracy train: 0.7650302194889195, accuracy val: 0.6878555528073212
n_neighbors: 10, accuracy train: 0.7604707878273778, accuracy val: 0.6908236458075686
n_neighbors: 11, accuracy train: 0.7565475559325628, accuracy val: 0.6915656690576305
n_neighbors: 12, accuracy train: 0.7511398579153854, accuracy val: 0.6994805837249567
n_neighbors: 13, accuracy train: 0.7509277913264765, accuracy val: 0.6932970566411081
n_neighbors: 14, accuracy train: 0.7478528257872972, accuracy val: 0.6962651496413554
n_neighbors: 15, accuracy train: 0.7466864595482982, accuracy val: 0.693791738807816
n_neighbors: 16, accuracy train: 0.7411727282366664, accuracy val: 0.6900816225575068
n_neighbors: 17, accuracy train: 0.7415968614144841, accuracy val: 0.6960178085580014
n_neighbors: 18, accuracy train: 0.7409606616477574, accuracy val: 0.69403907989117
n_neighbors: 19, accuracy train: 0.7380977626974871, accuracy val: 0.69403907989117
n_neighbors: 20, accuracy train: 0.7361891633973068, accuracy val: 0.6932970566411081
n_neighbors: 21, accuracy train: 0.7336443643303997, accuracy val: 0.6928023744744002
n_neighbors: 22, accuracy train: 0.7300392323189482, accuracy val: 0.6893395993074449
n_neighbors: 23, accuracy train: 0.7285547661965858, accuracy val: 0.69403907989117
n_neighbors: 24, accuracy train: 0.7283426996076768, accuracy val: 0.6898342814741528
n_neighbors: 25, accuracy train: 0.7271763333686778, accuracy val: 0.6881028938906752
n_neighbors: 26, accuracy train: 0.7263280670130421, accuracy val: 0.6913183279742765
n_neighbors: 27, accuracy train: 0.7250556674795886, accuracy val: 0.6928023744744002
n_neighbors: 28, accuracy train: 0.7249496341851341, accuracy val: 0.6913183279742765
n_neighbors: 29, accuracy train: 0.7242074011239529, accuracy val: 0.6928023744744002
[KNN BEST] n_neighbors=12, val_accuracy=0.6994805837249567
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.7031906999752658
------------------------------------------------------------------------------------------------------------------------
orientations: 9, n_components: 200
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6601533514716794
n_neighbors: 2, accuracy train: 0.8257872972113244, accuracy val: 0.6314617858026218
n_neighbors: 3, accuracy train: 0.8151839677658785, accuracy val: 0.6569379173880782
n_neighbors: 4, accuracy train: 0.7973703742975294, accuracy val: 0.662132080138511
n_neighbors: 5, accuracy train: 0.7856006786130845, accuracy val: 0.6668315607222359
n_neighbors: 6, accuracy train: 0.776481815290001, accuracy val: 0.6725204056393767
n_neighbors: 7, accuracy train: 0.7693775845615524, accuracy val: 0.6749938164729161
n_neighbors: 8, accuracy train: 0.7564415226381084, accuracy val: 0.6829087311402424
n_neighbors: 9, accuracy train: 0.7563354893436539, accuracy val: 0.6843927776403661
n_neighbors: 10, accuracy train: 0.7478528257872972, accuracy val: 0.6762305218896859
n_neighbors: 11, accuracy train: 0.7448838935425723, accuracy val: 0.6829087311402424
n_neighbors: 12, accuracy train: 0.742020994592302, accuracy val: 0.6819193668068266
n_neighbors: 13, accuracy train: 0.741808928003393, accuracy val: 0.6836507543903042
n_neighbors: 14, accuracy train: 0.7366132965751246, accuracy val: 0.6814246846401187
n_neighbors: 15, accuracy train: 0.7322659315024918, accuracy val: 0.6791986148899333
n_neighbors: 16, accuracy train: 0.7302512989078571, accuracy val: 0.6811773435567647
n_neighbors: 17, accuracy train: 0.7263280670130421, accuracy val: 0.680435320306703
n_neighbors: 18, accuracy train: 0.7232531014738628, accuracy val: 0.679693297056641
n_neighbors: 19, accuracy train: 0.723995334535044, accuracy val: 0.6759831808063319
n_neighbors: 20, accuracy train: 0.7208143357014103, accuracy val: 0.6730150878060845
n_neighbors: 21, accuracy train: 0.7210264022903191, accuracy val: 0.6799406381399951
n_neighbors: 22, accuracy train: 0.7179514367511398, accuracy val: 0.6779619094731635
n_neighbors: 23, accuracy train: 0.7161488707454141, accuracy val: 0.675488498639624
n_neighbors: 24, accuracy train: 0.7139221715618704, accuracy val: 0.6806826613900568
n_neighbors: 25, accuracy train: 0.714982504506415, accuracy val: 0.6749938164729161
n_neighbors: 26, accuracy train: 0.7132859717951436, accuracy val: 0.6764778629730398
n_neighbors: 27, accuracy train: 0.7096808397836921, accuracy val: 0.6725204056393767
n_neighbors: 28, accuracy train: 0.7075601738946029, accuracy val: 0.6700469948058373
n_neighbors: 29, accuracy train: 0.7075601738946029, accuracy val: 0.6740044521395003
[KNN BEST] n_neighbors=9, val_accuracy=0.6843927776403661
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.6920603512243384
------------------------------------------------------------------------------------------------------------------------
orientations: 9, n_components: 500
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6482809794706901
n_neighbors: 2, accuracy train: 0.8170925670660587, accuracy val: 0.621568142468464
n_neighbors: 3, accuracy train: 0.8093521365708832, accuracy val: 0.6463022508038585
n_neighbors: 4, accuracy train: 0.7811472802459972, accuracy val: 0.6485283205540441
n_neighbors: 5, accuracy train: 0.7717103170395504, accuracy val: 0.657927281721494
n_neighbors: 6, accuracy train: 0.7629095535998304, accuracy val: 0.6581746228048478
n_neighbors: 7, accuracy train: 0.7542148234545647, accuracy val: 0.6524857778877071
n_neighbors: 8, accuracy train: 0.7460502597815715, accuracy val: 0.6604006925550334
n_neighbors: 9, accuracy train: 0.7396882621143039, accuracy val: 0.6626267623052189
n_neighbors: 10, accuracy train: 0.7382037959919415, accuracy val: 0.6646054909720505
n_neighbors: 11, accuracy train: 0.7349167638638533, accuracy val: 0.6604006925550334
n_neighbors: 12, accuracy train: 0.727918566429859, accuracy val: 0.6574325995547861
n_neighbors: 13, accuracy train: 0.7295090658466759, accuracy val: 0.6544645065545387
n_neighbors: 14, accuracy train: 0.7243134344184073, accuracy val: 0.6559485530546624
n_neighbors: 15, accuracy train: 0.7230410348849539, accuracy val: 0.6552065298046006
n_neighbors: 16, accuracy train: 0.7208143357014103, accuracy val: 0.6524857778877071
n_neighbors: 17, accuracy train: 0.7194359028735022, accuracy val: 0.6557012119713085
n_neighbors: 18, accuracy train: 0.7173152369844131, accuracy val: 0.6594113282216176
n_neighbors: 19, accuracy train: 0.7172092036899587, accuracy val: 0.65767994063814
n_neighbors: 20, accuracy train: 0.7155126709786873, accuracy val: 0.6574325995547861
n_neighbors: 21, accuracy train: 0.713816138267416, accuracy val: 0.6591639871382636
n_neighbors: 22, accuracy train: 0.712649772028417, accuracy val: 0.6591639871382636
n_neighbors: 23, accuracy train: 0.7107411727282367, accuracy val: 0.6606480336383873
n_neighbors: 24, accuracy train: 0.7089386067225109, accuracy val: 0.6596586693049715
n_neighbors: 25, accuracy train: 0.7066058742445128, accuracy val: 0.6611427158050952
n_neighbors: 26, accuracy train: 0.7050153748276959, accuracy val: 0.65767994063814
n_neighbors: 27, accuracy train: 0.7031067755275157, accuracy val: 0.6584219638882018
n_neighbors: 28, accuracy train: 0.7016223094051532, accuracy val: 0.657927281721494
n_neighbors: 29, accuracy train: 0.7010921429328809, accuracy val: 0.6594113282216176
[KNN BEST] n_neighbors=10, val_accuracy=0.6646054909720505
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.6502597081375217
------------------------------------------------------------------------------------------------------------------------
========================================================================================================================
orientations: 18, n_components: 50
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6811773435567647
n_neighbors: 2, accuracy train: 0.8346940939454989, accuracy val: 0.6539698243878308
n_neighbors: 3, accuracy train: 0.8300286289895027, accuracy val: 0.6764778629730398
n_neighbors: 4, accuracy train: 0.8079737037429753, accuracy val: 0.6836507543903042
n_neighbors: 5, accuracy train: 0.7993850068921642, accuracy val: 0.6992332426416028
n_neighbors: 6, accuracy train: 0.7888877107411727, accuracy val: 0.6999752658916646
